Time,GPS Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI
14:11:42,17:11:42,0,-21.776168333333334,-43.37227776666667,940.0,1,13,-102
14:11:50,17:11:42,1,-21.776168333333334,-43.37227776666667,940.0,1,13,-97
14:11:58,17:11:50,2,-21.776171783333332,-43.372278316666666,940.3,1,13,-102
14:12:06,17:11:58,3,-21.776172116666668,-43.37227861666667,940.4,1,13,-107
14:12:14,17:12:06,4,-21.776173366666665,-43.372278783333336,940.5,1,13,-101
14:12:22,17:12:14,5,-21.776172533333334,-43.372279283333334,940.3,1,13,-101
14:12:31,17:12:22,6,-21.776172066666668,-43.3722799,940.2,1,13,-108
14:12:39,17:12:31,7,-21.776171466666668,-43.37228,940.1,1,13,-101
14:12:47,17:12:39,8,-21.7761717,-43.37228031666667,939.9,1,13,-107
14:12:55,17:12:47,9,-21.776171316666666,-43.37228085,939.9,1,13,-105
14:13:03,17:12:55,10,-21.77617115,-43.372281083333334,939.8,1,13,-97
14:13:11,17:13:03,11,-21.77617061666667,-43.37228165,939.6,1,13,-97
14:13:19,17:13:11,12,-21.77616995,-43.37228236666667,939.5,1,13,-106
14:13:27,17:13:19,13,-21.776169316666667,-43.372283016666664,939.2,1,13,-99
14:13:35,17:13:27,14,-21.776168866666666,-43.372283350000004,939.1,1,13,-99
14:13:44,17:13:35,15,-21.7761688,-43.37228376666667,939.0,1,13,-106
14:13:52,17:13:44,16,-21.77616895,-43.37228401666667,939.0,1,13,-102
14:14:00,17:13:52,17,-21.776168683333335,-43.37228458333333,938.8,1,13,-102
14:14:08,17:14:00,18,-21.776168033333335,-43.37228508333333,938.6,1,13,-107
14:14:16,17:14:08,19,-21.776167233333332,-43.37228533333333,938.6,1,13,-97
14:14:24,17:14:16,20,-21.776167033333333,-43.37228555,938.6,1,13,-108
14:14:32,17:14:24,21,-21.776166133333334,-43.372286116666665,938.4,1,13,-98
14:14:40,17:14:32,22,-21.776165466666665,-43.37228635,938.4,1,13,-104
14:14:49,17:14:40,23,-21.776164666666666,-43.372286583333334,938.2,1,13,-101
14:14:57,17:14:48,24,-21.776163566666668,-43.37228678333334,938.2,1,13,-97
14:15:05,17:14:57,25,-21.776163066666665,-43.37228686666667,938.2,1,13,-101
14:15:13,17:15:05,26,-21.776162733333333,-43.372287166666666,938.2,1,13,-96
14:15:21,17:15:13,27,-21.7761624,-43.37228721666666,938.2,1,13,-99
14:15:29,17:15:21,28,-21.77616215,-43.372287183333334,938.1,1,13,-100
14:15:37,17:15:29,29,-21.776162133333333,-43.372287166666666,938.2,1,13,-100
14:15:45,17:15:37,30,-21.776161683333335,-43.37228735,938.1,1,13,-99
14:15:53,17:15:45,31,-21.776161216666665,-43.37228748333333,938.1,1,13,-97
14:16:02,17:15:53,32,-21.776160583333333,-43.37228721666666,938.0,1,13,-99
14:16:10,17:16:01,33,-21.776160633333333,-43.372287316666664,937.9,1,13,-96
14:16:18,17:16:10,34,-21.776163066666665,-43.37228733333333,938.3,1,13,-96
14:16:26,17:16:18,35,-21.776159016666668,-43.372286683333336,938.0,1,13,-99
14:16:34,17:16:26,36,-21.776156483333335,-43.372286466666665,937.8,1,13,-99
14:16:42,17:16:34,37,-21.7761562,-43.372286566666666,937.9,1,13,-98
14:16:50,17:16:42,38,-21.776157666666666,-43.37228663333333,938.1,1,13,-97
14:16:58,17:16:50,39,-21.776157633333334,-43.37228653333333,938.2,1,13,-97
14:17:06,17:16:58,40,-21.776156766666666,-43.372286466666665,938.2,1,13,-98
